Ana Carla  Pereira,European Federation for Services to Individuals
Andrea Beltramello,Chamber of Commerce of the United States of America
Elina Melngaile,Chamber of Commerce of the United States of America
Phil Hogan (Commissioner),Ignasi Guardans
Jorge Pinto Antunes,Fédération Européenne pour la Santé Animale et la Sécurité Sanitaire
Geneviève Tuts,EuropeanIssuers
Mirzha De Manuel,Bruegel
Jérôme Deslandes,Bruegel
Mirzha De Manuel,Peter G. Peterson Institute for International Economics
Jérôme Deslandes,Peter G. Peterson Institute for International Economics
Diederik Samsom,Knauf Energy Solutions
Cristina Rueda Catry,Ignasi Guardans
Renaud Savignat,ReAct - Action on Antibiotic Resistance
Gaelle Garnier,ELECTRICITE DE FRANCE
Nicolas Schmit (Commissioner),EUROPEAN TRADE UNION CONFEDERATION
Laure Chapuis-Kombos,ELECTRICITE DE FRANCE
Karolina Herbout-Borczak,spiritsEUROPE
Panayiotis Pourgourides,spiritsEUROPE
Ylva Johansson (Commissioner),VERBOND VAN BELGISCHE ONDERNEMINGEN / FEDERATION DES ENTREPRISES DE BELGIQUE
Alexandra Cupsan-Catalin,VERBOND VAN BELGISCHE ONDERNEMINGEN / FEDERATION DES ENTREPRISES DE BELGIQUE
Raul Hernandez Sagrera,VERBOND VAN BELGISCHE ONDERNEMINGEN / FEDERATION DES ENTREPRISES DE BELGIQUE
Ylva Johansson (Commissioner),Vereinigung der österreichischen Industrie - Industriellenvereinigung
Alexandra Cupsan-Catalin,Vereinigung der österreichischen Industrie - Industriellenvereinigung
Raul Hernandez Sagrera,Vereinigung der österreichischen Industrie - Industriellenvereinigung
Ylva Johansson (Commissioner),BUSINESSEUROPE
Alexandra Cupsan-Catalin,BUSINESSEUROPE
Raul Hernandez Sagrera,BUSINESSEUROPE
Ylva Johansson (Commissioner),Unie van Zelfstandige Ondernemers
Alexandra Cupsan-Catalin,Unie van Zelfstandige Ondernemers
Raul Hernandez Sagrera,Unie van Zelfstandige Ondernemers
Ylva Johansson (Commissioner),Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.
Alexandra Cupsan-Catalin,Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.
Raul Hernandez Sagrera,Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.
Ylva Johansson (Commissioner),Confederación Española de Organizaciones Empresariales
Alexandra Cupsan-Catalin,Confederación Española de Organizaciones Empresariales
Raul Hernandez Sagrera,Confederación Española de Organizaciones Empresariales
Ylva Johansson (Commissioner),Handwerkskammer Dresden
Alexandra Cupsan-Catalin,Handwerkskammer Dresden
Raul Hernandez Sagrera,Handwerkskammer Dresden
Ylva Johansson (Commissioner),Mouvement des Entreprises de France
Alexandra Cupsan-Catalin,Mouvement des Entreprises de France
Raul Hernandez Sagrera,Mouvement des Entreprises de France
Ylva Johansson (Commissioner),Wirtschaftskammer Österreich
Alexandra Cupsan-Catalin,Wirtschaftskammer Österreich
Raul Hernandez Sagrera,Wirtschaftskammer Österreich
Anne Bergenfelt,Third Generation Environmentalism Ltd
Gaëlle Michelier,AVIONS DE TRANSPORT REGIONAL
Janusz Wojciechowski (Commissioner),European Federation of Origin Wines
Simona Pinzariu,European Federation of Origin Wines
Kurt Vandenberghe,BUSINESSEUROPE
Kitti Nyitrai,Gas Infrastructure Europe
Anouk Faber,Deutscher Industrie- und Handelskammertag e. V.
Christoph Nerlich,Deutscher Industrie- und Handelskammertag e. V.
Kim-Tobias Eling,B’Tselem – The Israeli Information Center for Human Rights in the Occupied Territories
Marie Frenay,Reporters sans frontières
Renaud Savignat,European Federation of Pharmaceutical Industries and Associations
Antoine Colombani,Fondation Jean-Jaurès
Antoine Colombani,Third Generation Environmentalism Ltd
Roberto Reig Rodrigo,European Public Health Alliance
Annukka Ojala,European Public Health Alliance
Helena Braun,Friends of the Earth Europe
Ruth Paserman,Gesamtverband der Deutschen Versicherungswirtschaft e.V.
Elzbieta Lukaniuk,FIPRA International SRL
Anthony Whelan,Europa Insights
Stella Kyriakides (Commissioner),European agri-cooperatives
Stella Kyriakides (Commissioner),European farmers
Stella Kyriakides (Commissioner),Compassion in World Farming International
Per Haugaard,Rasmussen Global
Maria Koleva,ORGANIZACIÓN NACIONAL DE CIEGOS ESPAÑOLES
Astrid Dentler,European Association of Paritarian Institutions of Social Protection
Riccardo Maggi,European Chemical Industry Council
Stefanie Hiesinger,European Chemical Industry Council
Daniel Mes,European Association Automotive Suppliers
Astrid Dentler,Gesamtverband der Deutschen Versicherungswirtschaft e.V.
Renate Nikolay,Amnesty International Limited
Simona Constantin,Amnesty International Limited
Monika Ladmanova,Amnesty International Limited
Chiara Salvelli,Mind the Bridge
Helena Braun,The Alliance for Beverage Cartons and the Environment
Anthony Whelan,Asociatia ROMA ENTREPRENEURSHIP DEVELOPMENT
Annukka Ojala,Euro Coop - European Community of Consumer Co-operatives
Roberto Reig Rodrigo,Euro Coop - European Community of Consumer Co-operatives
Nereo Penalver Garcia,The Alliance of Democracies Foundation
Filomena Chirico,Bundesverband Breitbandkommunikation e.V.
Diana Montero Melis,Handelsverband Deutschland
Baiba Aleksejuka-Tavaresa,IKV, Fondation pour le Développement Economique
Selma Haenicke,Konrad-Adenauer-Stiftung
Ana Carla  Pereira,ORGANIZACIÓN NACIONAL DE CIEGOS ESPAÑOLES
Maria Luisa Cabral,SMEunited aisbl
Diederik Samsom,ELECTRICITE DE FRANCE
Daniel Mes,Manufacture Française des Pneumatiques Michelin
Nereo Penalver Garcia,EU-Asia Centre
Filomena Chirico,Bureau Européen des Unions de Consommateurs
Thierry Breton (Commissioner),Bureau Européen des Unions de Consommateurs
Antoine Colombani,Bruegel
Estelle Göger,Gesamtverband der Deutschen Versicherungswirtschaft e.V.
Alienor Margerit,Gesamtverband der Deutschen Versicherungswirtschaft e.V.
Diana Montero Melis,EUCED - Instituição Europeia de Cooperação Económica e Desenvolvimento
Antoine Colombani,ELECTRICITE DE FRANCE
Antoine Colombani,CEC European Managers - Confédération Européenne des Cadres
Juraj Nociar,Manufacture Française des Pneumatiques Michelin
Christoph Nerlich,Manufacture Française des Pneumatiques Michelin
Christoph Nerlich,Deutsche Post DHL Group
Anouk Faber,Deutsche Post DHL Group
Asa Webber,Vattenfall
Roxana Lesovici,FEPORT
Jorge Pinto Antunes,European Network of Heads of Nature Conservation Agencies
Tom Tynan,Foreign Economic Relations Board of Turkey
Carole Mancel-Blanchard,European Metropolitan Authorities
Elisa Ferreira (Commissioner),European Metropolitan Authorities
Catherine Geslain-Lanéelle,Association nationale interprofessionnelle du bétail et des viandes
Janusz Wojciechowski (Commissioner),Association nationale interprofessionnelle du bétail et des viandes
Janusz Wojciechowski (Commissioner),Comité National des Interprofessions des Vins à appellation d’origine et à indication géographique
Catherine Geslain-Lanéelle,Comité National des Interprofessions des Vins à appellation d’origine et à indication géographique
Janusz Wojciechowski (Commissioner),Association Générale des Producteurs de Blé et autres céréales
Catherine Geslain-Lanéelle,Association Générale des Producteurs de Blé et autres céréales
Janusz Wojciechowski (Commissioner),Association Générale des Producteurs de Maïs
Catherine Geslain-Lanéelle,Association Générale des Producteurs de Maïs
Dermot Ryan,Bureau Européen des Unions de Consommateurs
Phil Hogan (Commissioner),Bureau Européen des Unions de Consommateurs
Mirzha De Manuel,Confederación Española de Organizaciones Empresariales
Rozalina Petrova,European Boating Industry
Anouk Faber,Confederazione Nazionale dell'Artigianato e della Piccola e Media Impresa
Santina Bertulessi,Confederazione Nazionale dell'Artigianato e della Piccola e Media Impresa
Nicolas Schmit (Commissioner),Confederazione Nazionale dell'Artigianato e della Piccola e Media Impresa
Anouk Faber,Confederazione Generale Italiana del Lavoro
Santina Bertulessi,Confederazione Generale Italiana del Lavoro
Nicolas Schmit (Commissioner),Confederazione Generale Italiana del Lavoro
Phil Hogan (Commissioner),European Trade Union Committee for Education
Kim Jorgensen,Smiths Group plc
Diederik Samsom,Berenschot Groep BV
Riccardo Maggi,European Federation of Building Societies
Marco Piantini,Federation of Catholic Family Associations in Europe
Monika Ladmanova,European Disability Forum
Elzbieta Lukaniuk,European Express Association
Dubravka Šuica (Vice-President),European Youth Forum
Christoph Nerlich,Notre Europe - Institut Jacques Delors / Notre Europe - Jacques Delors Institute
Helena Dalli (Commissioner),CONCORD Europe
Helena Dalli (Commissioner),Platform of European Social NGOs
Helena Dalli (Commissioner),Eurocities
Renaud Savignat,International Planned Parenthood Federation European Network
Renaud Savignat,European Parliamentary Forum for Sexual & Reproductive Rights
Renaud Savignat,DSW (Deutsche Stiftung Weltbevoelkerung)
Panayiotis Pourgourides,Eurogroup for Animals
Stella Kyriakides (Commissioner),Eurogroup for Animals
Annukka Ojala,Conseil Européen des Jeunes Agriculteurs
Roberto Reig Rodrigo,Conseil Européen des Jeunes Agriculteurs
Alienor Margerit,UBS Group AG
Valdis Dombrovskis (Executive Vice-President),The Project Syndicate, ops
Andrea Beltramello,The Project Syndicate, ops
Vanessa Mock,The Project Syndicate, ops
Valdis Dombrovskis (Executive Vice-President),EBAN ASBL - The European Business Angels Network
Andrea Beltramello,EBAN ASBL - The European Business Angels Network
Vanessa Mock,EBAN ASBL - The European Business Angels Network
Asa Webber,Teneo Brussels
Clarisse Albert,EXPAND
Lucrezia Busa,EXPAND
Sandra Bartelt,CONCORD Europe
Walter Goetz,Qatar Airways
Maciej Golubiewski,Central Europe Energy Partners
Roxana Lesovici,European Federation of Inland Ports
Anthony Whelan,Adobe Systems Benelux bv
Catherine Geslain-Lanéelle,Fédération Nationale des Syndicats d'Exploitants Agricoles
Janusz Wojciechowski (Commissioner),Fédération Nationale des Syndicats d'Exploitants Agricoles
Catherine Geslain-Lanéelle,Assemblée permanente des Chambres d'Agriculture
Janusz Wojciechowski (Commissioner),Assemblée permanente des Chambres d'Agriculture
Antoine Kasel,Nestlé S.A.
Christoph Nerlich,Nestlé S.A.
Margrethe Vestager (Executive Vice-President),European Magazine Media Association
Alina-Stefania Ujupan,European Magazine Media Association
Margrethe Vestager (Executive Vice-President),European Newspaper Publishers' Association
Alina-Stefania Ujupan,European Newspaper Publishers' Association
Aleksandra Tomczak,Gas Infrastructure Europe
Riccardo Maggi,Gas Infrastructure Europe
Jérôme Deslandes,Deutscher Sparkassen-und Giroverband
Dara Murphy,Technology Industries of Finland (Teknologiateollisuus ry)
Vangelis Demiris,The PR Office
Isabelle Perignon,vente-privee.com
Virginijus Sinkevičius (Commissioner),International Union for Conservation of Nature EU Representative Office
Eglantine Cujo,International Union for Conservation of Nature EU Representative Office
Anthony Agotha,Centre for European Policy Studies
Aleksandra Tomczak,Hydrogen Europe
Aleksandra Tomczak,Bloomberg L.P.
Werner Stengg,MAILO
Andrea Beltramello,Invest Europe
Werner Stengg,European DIGITAL SME Alliance
Margrethe Vestager (Executive Vice-President),European DIGITAL SME Alliance
Ana Carla  Pereira,Danish Trade Union Confederation EU Office
Brenda Furniere,Association Civic Tech Europe
Brenda Furniere,Make.org
Lukas Visek,ClientEarth AISBL
Renaud Savignat,Front Line Defenders
Valere Moutarlier,ASD-Eurospace
Mattia De Grassi,Make.org
Mattia De Grassi,Association Civic Tech Europe
Zaneta Vegnere,European DIGITAL SME Alliance
Andrea Beltramello,European DIGITAL SME Alliance
Mattia De Grassi,Civil Society Europe
Nicolas Schmit (Commissioner),Les Restaurants du Cœur
Christoph Nerlich,Les Restaurants du Cœur
Anouk Faber,Les Restaurants du Cœur
Rafael Tristan Daerr,ACT Alliance Advocacy to the European Union
Jorge Pinto Antunes,AnimalhealthEurope
Francisco Barros Castro,EUROPEAN TRADE UNION CONFEDERATION
Elisa Ferreira (Commissioner),EUROPEAN TRADE UNION CONFEDERATION
Marius  Vaščega ,EUROCHAMBRES – Association of European Chambers of Commerce and Industry
Monika Ladmanova,European Union of Jewish Students
Věra Jourová (Vice-President),European Union of Jewish Students
Rozalina Petrova,H & M Hennes & Mauritz AB
Monika Maglione,Charita Česká republika
Alexandra Cupsan-Catalin,Charita Česká republika
Ylva Johansson (Commissioner),Charita Česká republika
Monika Maglione,Sdružení pro integraci a migraci
Alexandra Cupsan-Catalin,Sdružení pro integraci a migraci
Ylva Johansson (Commissioner),Sdružení pro integraci a migraci
Monika Maglione,Organizace pro pomoc uprchlíkům
Alexandra Cupsan-Catalin,Organizace pro pomoc uprchlíkům
Ylva Johansson (Commissioner),Organizace pro pomoc uprchlíkům
Aleksandra Tomczak,European Network of Transmission System Operators for Electricity
Michele Piergiovanni,Federazione Italiana Concessionari Auto
Alina-Stefania Ujupan,European Wireless Infrastructure Association
Nele Eichhorn,European Wireless Infrastructure Association
Andrea Beltramello,Fleishman-Hillard
Mette Dyrskjot,Institute for future-fit economies gemeinnützige UG (haftungsbeschränkt)
Ylva Johansson (Commissioner),Caritas Europa
Monika Maglione,Caritas Europa
Alexandra Cupsan-Catalin,Caritas Europa
Ylva Johansson (Commissioner),Organizace pro pomoc uprchlíkům
Monika Maglione,Organizace pro pomoc uprchlíkům
Alexandra Cupsan-Catalin,Organizace pro pomoc uprchlíkům
Ylva Johansson (Commissioner),Sdružení pro integraci a migraci
Monika Maglione,Sdružení pro integraci a migraci
Alexandra Cupsan-Catalin,Sdružení pro integraci a migraci
Ylva Johansson (Commissioner),Amnesty International Limited
Monika Maglione,Amnesty International Limited
Alexandra Cupsan-Catalin,Amnesty International Limited
Anthony Whelan,ISFE - Representing the European Videogames Industry
Anthony Whelan,IBM Corporation
Roberto Berutti,Eurogroup for Animals
Janusz Wojciechowski (Commissioner),Eurogroup for Animals
Nereo Penalver Garcia,Human Rights Watch
Christiane Kirketerp De Viron,Eesti Põllumajandus-Kaubanduskoda
Roberto Reig Rodrigo,International Federation of Organic Agriculture Movements EU Regional Group
Roberto Reig Rodrigo,Slow Food
Roberto Reig Rodrigo,European Coordination Via Campesina
Monika Maglione,Organizace pro pomoc uprchlíkům
Alexandra Cupsan-Catalin,Organizace pro pomoc uprchlíkům
Ylva Johansson (Commissioner),Organizace pro pomoc uprchlíkům
Monika Maglione,Charita Česká republika
Alexandra Cupsan-Catalin,Charita Česká republika
Ylva Johansson (Commissioner),Charita Česká republika
Monika Maglione,Konsorcium nevládních organizací pracujících s migranty v ČR
Alexandra Cupsan-Catalin,Konsorcium nevládních organizací pracujících s migranty v ČR
Ylva Johansson (Commissioner),Konsorcium nevládních organizací pracujících s migranty v ČR
Monika Maglione,Sdružení pro integraci a migraci
Alexandra Cupsan-Catalin,Sdružení pro integraci a migraci
Ylva Johansson (Commissioner),Sdružení pro integraci a migraci
Estelle Göger,Institute for future-fit economies gemeinnützige UG (haftungsbeschränkt)
Diederik Samsom,European Community Shipowners' Associations
Janusz Wojciechowski (Commissioner),European farmers
Catherine Geslain-Lanéelle,European farmers
Maciej Golubiewski,European farmers
Maria Inmaculada Lopez Martinez,Airbus
Lukas Visek,European Coordination Via Campesina
Lukas Visek,International Federation of Organic Agriculture Movements EU Regional Group
Lukas Visek,Slow Food
Sarah Nelen,Transport and Environment (European Federation for Transport and Environment)
Daniel Mes,UITP - International Association of Public Transport
Laure Chapuis-Kombos,Siemens Gamesa Renewable Energy
Astrid Dentler,Association Internationale de la Mutualité
Jutta Urpilainen (Commissioner),European Foundation Centre
Jutta Urpilainen (Commissioner),Fundatia ADEPT Transilvania
Jutta Urpilainen (Commissioner),International Organisation of Employers
Jutta Urpilainen (Commissioner),The ONE Campaign
Jutta Urpilainen (Commissioner),Organización Mundial de Ciudades y Gobiernos Locales Unidos - United Cities and Local Governments
Jutta Urpilainen (Commissioner),European Youth Forum
Jutta Urpilainen (Commissioner),Women Engage for a Common Future
Jutta Urpilainen (Commissioner),ICA INTERNATIONAL consulting
Jutta Urpilainen (Commissioner),CONCORD Europe
Jutta Urpilainen (Commissioner),International Trade Union Confederation
Valeria Miceli,Société Générale
Dara Murphy,International Association of Scientific, Technical and Medical Publishers
